ResponseID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,A1_RegionName
11,SUV,0,3,everyday,commuting,9999,47,male,Chinese,none,20万元以上～30万元以下,2,1,3,2,2,2,2,3,2,3,3,1,1,3,3,1,1,2,2,2,2,3,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,上海市(Shanghai)
12,car,0,0,everyday,commuting,7,31,female,Chinese,none,10万元以上～20万元以下,3,2,2,2,1,2,3,3,3,4,3,2,3,3,3,2,3,2,2,3,2,3,1,1,1,1,2,1,1,4,4,3,4,4,3,4,3,4,4,4,4,3,上海市(Shanghai)
13,bus,0,0,seldom,others,1,30,female,Chinese,none,10万元以上～20万元以下,5,3,4,4,4,4,2,4,2,2,1,1,1,2,3,2,1,3,2,3,2,2,1,1,1,2,3,2,1,4,4,4,4,4,3,3,3,4,3,3,3,3,江苏省(Jiangsu)
14,car,1,0,once in a month,education,3,24,male,Chinese,none,不到10万元,5,4,4,4,3,3,2,2,2,3,3,3,3,2,2,2,1,2,2,2,2,3,3,3,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,广东省(Guangdong)
15,car,3,0,everyday,commuting,3,31,male,Chinese,none,30万元以上～50万元以下,5,2,2,2,1,3,3,3,1,3,2,1,2,1,1,1,1,3,3,3,1,3,3,1,2,1,1,1,1,4,4,4,2,2,2,3,2,4,3,4,4,2,上海市(Shanghai)
16,car,5,0,several in a week,commuting,9999,52,male,Chinese,none,20万元以上～30万元以下,2,2,2,3,2,2,1,3,1,1,2,1,2,3,3,1,1,2,2,2,1,3,3,1,2,3,3,1,1,1,4,3,3,2,4,4,4,4,4,4,4,3,浙江省(Zhejiang)
17,car,2,1,everyday,commuting,9999,42,male,Chinese,none,20万元以上～30万元以下,4,4,5,5,5,1,2,1,3,3,3,1,2,1,1,1,1,4,4,4,1,2,2,2,2,1,1,1,1,4,2,2,4,4,4,4,4,4,4,4,4,2,上海市(Shanghai)
18,car,2,1,everyday,commuting,9999,51,male,Chinese,other,50万元以上～100万元以下,5,5,5,5,2,4,2,4,1,3,3,1,2,3,3,1,1,4,3,4,1,4,3,1,2,1,2,1,1,4,3,3,3,3,2,3,2,1,3,4,4,3,北京市(Beijing)
19,car,0,1,everyday,commuting,6,32,male,Chinese,none,10万元以上～20万元以下,4,2,1,5,2,4,3,3,3,3,1,1,1,3,3,1,1,4,2,2,2,4,3,2,1,3,3,1,1,4,4,2,4,4,4,2,3,4,4,4,4,2,上海市(Shanghai)
20,car,0,0,once in a week,others,8,37,male,Chinese,Islam,10万元以上～20万元以下,5,3,3,5,4,3,1,2,1,3,2,1,1,2,4,1,1,1,1,1,1,2,1,1,2,1,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,陕西省(Shaanxi)
21,car,2,0,several in a week,others,9999,68,male,Chinese,none,10万元以上～20万元以下,2,2,2,2,1,2,2,3,1,2,2,1,1,3,3,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,4,3,3,2,3,2,2,3,3,3,3,2,上海市(Shanghai)
22,SUV,0,0,everyday,commuting,10,33,male,Chinese,none,10万元以上～20万元以下,5,2,2,2,1,3,1,3,1,3,2,1,2,3,3,1,1,3,1,4,1,3,3,1,1,1,1,1,1,3,3,2,2,2,3,3,2,3,3,3,4,2,江苏省(Jiangsu)
23,car,0,0,once in a week,business,9999,46,male,Chinese,none,不到10万元,5,4,3,5,2,3,2,3,3,4,2,2,1,2,2,1,1,3,3,3,3,3,1,1,1,2,2,1,1,4,3,3,4,4,3,3,3,3,4,4,4,4,上海市(Shanghai)
24,car,5,1,everyday,commuting,9999,35,male,Chinese,none,10万元以上～20万元以下,5,3,2,5,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,4,4,4,4,4,4,3,2,3,4,4,4,3,浙江省(Zhejiang)
25,car,5,1,everyday,commuting,7,29,male,Chinese,none,10万元以上～20万元以下,3,2,2,2,1,2,2,3,1,3,1,1,1,2,2,1,1,1,2,2,1,3,1,1,1,2,2,1,1,4,4,3,4,4,4,4,4,4,4,4,4,3,上海市(Shanghai)
26,car,0,0,everyday,commuting,6,37,male,Chinese,none,不到10万元,2,2,2,2,1,2,3,3,3,3,2,1,1,2,3,1,1,3,3,3,2,3,2,1,1,1,3,2,1,4,3,3,3,3,3,2,2,3,3,3,3,3,上海市(Shanghai)
27,SUV,1,0,everyday,business,9999,47,male,Chinese,none,不到10万元,5,2,1,2,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,4,4,3,4,3,3,4,3,4,3,3,4,3,上海市(Shanghai)
28,car,0,0,everyday,commuting,9999,42,male,Chinese,none,不到10万元,2,2,2,4,1,2,2,4,1,3,1,1,1,1,1,1,1,3,1,3,1,4,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
29,car,0,0,everyday,commuting,9999,23,male,Chinese,none,10万元以上～20万元以下,2,2,2,3,2,3,1,1,1,4,1,1,1,2,2,1,1,3,1,1,1,3,1,1,1,2,2,1,1,4,4,4,3,4,3,3,3,3,3,4,4,2,上海市(Shanghai)
30,SUV,0,0,everyday,commuting,5,42,male,Chinese,other,10万元以上～20万元以下,2,1,2,5,2,4,2,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,上海市(Shanghai)
31,car,2,0,everyday,commuting,9999,66,male,Chinese,none,10万元以上～20万元以下,4,4,4,4,4,1,2,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,4,2,4,3,3,4,4,4,4,3,上海市(Shanghai)
32,car,0,0,everyday,commuting,9999,52,male,Chinese,none,不到10万元,2,2,2,1,1,2,2,2,2,3,2,1,1,1,2,1,1,1,2,2,1,3,1,1,1,1,2,1,1,4,4,3,4,3,4,3,3,3,3,3,4,2,上海市(Shanghai)
33,car,0,0,several in a week,others,7,40,male,Chinese,none,10万元以上～20万元以下,4,2,2,2,1,2,3,2,2,4,3,2,2,2,2,4,1,1,2,2,3,3,3,2,2,2,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
34,car,2,0,once in a week,commuting,9999,52,male,Chinese,Buddhism,10万元以上～20万元以下,3,4,4,2,2,3,3,3,4,3,3,2,2,4,4,2,1,4,4,4,3,3,3,2,2,4,4,2,2,4,4,2,2,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
35,car,2,0,everyday,commuting,9,33,male,Chinese,none,10万元以上～20万元以下,1,1,1,1,1,1,3,3,3,3,1,1,1,1,2,1,1,1,2,3,2,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
36,car,0,0,everyday,professional driver,9999,56,male,Chinese,none,10万元以上～20万元以下,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,上海市(Shanghai)
37,car,0,0,everyday,commuting,9999,56,male,Chinese,none,10万元以上～20万元以下,2,2,2,3,2,3,1,3,1,1,1,1,1,2,3,1,1,3,1,3,1,3,1,1,1,2,3,1,2,3,4,4,4,3,3,3,2,3,4,4,4,3,上海市(Shanghai)
38,car,4,1,everyday,commuting,9999,39,male,Chinese,none,不到10万元,2,2,2,1,3,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,上海市(Shanghai)
39,SUV,2,1,everyday,business,4,33,male,Chinese,none,不到10万元,5,5,5,1,3,4,4,4,4,4,4,2,2,3,4,1,1,4,4,4,4,4,3,1,3,3,3,1,1,3,2,2,4,4,2,2,2,2,4,4,4,2,上海市(Shanghai)
40,car,2,0,everyday,commuting,9999,40,male,Chinese,Buddhism,不到10万元,1,1,1,5,2,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,4,3,3,4,4,3,3,4,4,4,4,4,上海市(Shanghai)
41,car,2,0,everyday,commuting,9999,40,male,Chinese,Buddhism,10万元以上～20万元以下,2,1,2,2,4,1,3,3,2,3,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,3,2,3,4,4,4,3,上海市(Shanghai)
42,car,1,0,everyday,others,9999,52,male,Chinese,none,10万元以上～20万元以下,5,1,1,2,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,3,1,1,1,1,3,1,1,4,4,3,3,3,3,4,2,4,4,4,4,2,上海市(Shanghai)
43,car,0,0,everyday,commuting,9999,42,male,Chinese,none,不到10万元,4,2,1,4,2,3,3,2,4,3,2,1,2,2,2,1,1,3,4,2,4,3,3,2,1,1,2,1,1,4,3,3,3,3,3,3,2,3,3,3,4,2,上海市(Shanghai)
44,truck,2,0,everyday,professional driver,3,47,male,Chinese,none,不到10万元,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,上海市(Shanghai)
45,car,0,0,everyday,commuting,9999,38,male,Chinese,none,20万元以上～30万元以下,5,5,5,5,2,1,1,4,1,2,2,1,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,4,4,4,4,3,4,4,4,4,4,4,2,上海市(Shanghai)
46,car,4,0,everyday,business,9999,39,male,Chinese,none,10万元以上～20万元以下,4,2,1,3,1,3,3,3,2,3,2,1,1,1,1,1,1,3,3,3,2,3,2,1,1,1,1,1,1,3,3,3,3,2,2,2,2,3,4,4,4,2,上海市(Shanghai)
47,car,3,0,once in a week,commuting,6,44,female,Chinese,none,不到10万元,5,2,2,4,2,2,2,2,3,4,1,1,1,3,3,1,1,2,2,2,3,3,1,1,1,3,3,1,1,4,4,2,4,3,4,2,2,2,4,4,4,4,上海市(Shanghai)
48,car,0,0,seldom,commuting,2,52,male,Chinese,none,不到10万元,4,4,4,4,4,2,2,3,1,2,1,1,1,3,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,4,4,4,3,4,3,3,3,3,3,4,4,3,上海市(Shanghai)
49,car,1,0,everyday,commuting,8,45,female,Chinese,none,不到10万元,5,4,4,4,1,3,2,3,4,4,2,1,1,2,2,1,1,2,2,3,2,3,2,1,2,2,2,1,1,1,3,3,4,4,4,3,3,3,4,4,4,3,上海市(Shanghai)
50,car,3,0,everyday,business,9999,46,male,Chinese,none,20万元以上～30万元以下,3,2,2,2,1,3,3,3,2,4,1,1,1,1,2,1,1,3,3,3,2,3,1,1,1,1,2,1,1,3,3,2,3,4,2,2,2,3,3,3,4,3,上海市(Shanghai)
51,car,1,0,everyday,commuting,9999,44,male,Chinese,none,20万元以上～30万元以下,5,4,2,4,1,4,1,1,1,3,3,1,1,1,1,1,1,3,1,3,1,3,3,1,1,1,1,1,1,4,3,4,4,4,3,3,3,4,4,4,4,2,上海市(Shanghai)
52,car,0,0,everyday,business,9999,51,male,Chinese,none,10万元以上～20万元以下,3,2,2,3,2,2,3,3,2,1,2,1,1,1,1,1,1,2,3,2,1,1,2,1,1,1,1,1,1,4,4,4,3,2,3,3,3,3,4,4,4,2,上海市(Shanghai)
53,car,2,0,everyday,commuting,9999,44,male,Chinese,none,20万元以上～30万元以下,2,2,1,2,1,2,4,3,4,3,1,1,1,1,1,1,1,2,3,2,4,1,1,1,1,1,1,1,1,3,4,4,4,4,3,3,3,3,3,3,3,3,上海市(Shanghai)
54,car,1,0,everyday,commuting,9999,36,male,Chinese,Buddhism,10万元以上～20万元以下,4,2,2,2,1,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,4,4,3,4,4,3,3,3,3,4,4,4,4,上海市(Shanghai)
55,car,1,0,everyday,commuting,9999,34,male,Chinese,none,不到10万元,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,3,4,3,3,3,3,上海市(Shanghai)
56,car,0,1,everyday,commuting,9999,41,male,Chinese,none,10万元以上～20万元以下,4,5,3,5,3,3,3,3,1,2,3,1,1,4,4,1,2,4,1,3,1,3,2,1,1,1,2,1,1,4,4,4,4,4,3,3,2,3,4,4,4,4,上海市(Shanghai)
57,motorcycle,0,0,once in a month,others,1,39,male,Chinese,none,10万元以上～20万元以下,4,3,3,3,3,2,3,3,2,1,1,1,1,3,3,2,1,2,3,3,2,1,1,1,2,1,3,2,1,4,4,3,3,4,3,3,3,3,4,4,4,2,北京市(Beijing)
58,car,2,0,several in a week,business,6,47,male,Chinese,none,不到10万元,2,2,2,2,1,4,2,2,2,2,2,1,1,2,2,1,1,3,2,2,2,3,2,1,1,2,3,1,1,4,3,3,4,4,3,2,2,2,4,3,3,3,上海市(Shanghai)
59,car,3,0,everyday,commuting,9999,58,male,Chinese,none,10万元以上～20万元以下,5,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,4,2,4,3,3,2,2,2,2,2,3,3,3,4,4,4,2,2,4,4,4,4,2,上海市(Shanghai)
60,car,4,1,everyday,others,9999,48,male,Chinese,none,不到10万元,5,4,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,3,3,3,3,3,3,4,4,3,3,上海市(Shanghai)
61,car,0,0,once in a month,business,7,34,female,Chinese,none,20万元以上～30万元以下,4,5,4,5,1,4,1,3,2,4,2,1,1,1,3,1,1,4,1,3,2,3,2,1,1,1,3,1,1,3,2,2,4,4,3,4,2,3,4,4,4,4,上海市(Shanghai)
62,car,2,1,several in a week,others,7,37,male,Chinese,none,20万元以上～30万元以下,4,4,2,2,2,3,3,3,2,2,2,2,3,3,3,2,2,3,3,3,2,1,1,1,3,2,2,1,1,4,4,4,3,3,2,3,3,4,4,3,3,3,上海市(Shanghai)
63,car,1,1,everyday,commuting,9999,42,male,Chinese,none,10万元以上～20万元以下,5,2,2,5,3,3,3,3,2,3,1,1,2,1,2,1,1,2,2,3,1,2,1,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
64,car,0,0,once in a week,commuting,7,46,male,Chinese,none,不到10万元,5,1,2,2,1,2,2,3,1,3,1,1,2,3,3,1,1,1,2,1,1,2,2,1,2,3,3,1,1,2,3,3,4,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
65,SUV,2,0,everyday,commuting,7,35,male,Chinese,Buddhism,20万元以上～30万元以下,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
66,SUV,2,0,once in a week,others,3,43,female,Chinese,none,不到10万元,5,5,5,5,5,3,2,2,1,1,1,1,1,1,2,1,1,2,3,2,1,1,1,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,内蒙古自治区(Inner Mongolia Autonomous Region)
67,car,2,0,everyday,commuting,7,31,male,Chinese,none,10万元以上～20万元以下,3,3,3,3,3,4,4,1,4,3,3,1,1,1,1,1,1,3,3,1,4,3,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,3,3,3,3,3,上海市(Shanghai)
68,SUV,5,0,everyday,professional driver,10,36,male,Chinese,Buddhism,100万元以上,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
69,car,4,3,everyday,business,9999,47,male,Chinese,none,100万元以上,2,2,2,2,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,安徽省(Anhui)
70,car,2,0,everyday,business,9999,39,male,Chinese,Buddhism,10万元以上～20万元以下,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,上海市(Shanghai)
71,SUV,0,0,everyday,business,5,30,female,Chinese,Christianity,不到10万元,2,2,2,2,1,3,2,3,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,上海市(Shanghai)
72,car,2,2,seldom,business,1,50,female,Chinese,none,10万元以上～20万元以下,3,4,3,4,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,上海市(Shanghai)
73,SUV,5,0,everyday,business,7,34,male,Chinese,none,30万元以上～50万元以下,4,4,4,4,2,4,3,4,2,4,3,2,1,3,3,2,1,3,3,3,2,3,2,1,2,2,2,1,2,3,3,3,3,3,2,2,2,3,3,3,3,3,上海市(Shanghai)
74,car,1,0,everyday,commuting,8,50,female,Chinese,Buddhism,不到10万元,2,1,2,3,1,3,2,3,1,3,2,1,1,1,1,1,1,3,1,2,1,3,1,1,1,1,1,1,1,1,4,3,3,4,2,3,2,4,4,4,4,2,上海市(Shanghai)
75,SUV,1,0,several in a week,others,9999,38,male,Chinese,none,10万元以上～20万元以下,5,5,2,4,2,1,2,1,3,1,1,1,2,4,4,3,1,1,3,1,4,3,3,1,3,2,2,1,1,4,4,4,4,4,1,2,1,3,3,3,4,3,云南省(Yunnan)
76,SUV,0,0,several in a week,business,9999,55,female,Chinese,none,10万元以上～20万元以下,4,3,2,4,2,3,4,4,2,3,3,2,3,3,4,2,3,4,4,4,3,4,2,1,2,1,2,1,1,4,4,3,4,4,4,2,2,3,4,4,4,4,上海市(Shanghai)
77,car,0,0,everyday,commuting,9999,36,male,Chinese,none,20万元以上～30万元以下,2,5,2,2,2,4,4,4,4,4,1,1,1,1,2,1,1,3,3,4,1,3,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,上海市(Shanghai)
78,car,0,0,everyday,commuting,8,34,male,Chinese,none,10万元以上～20万元以下,4,2,4,4,2,4,3,3,3,3,2,1,3,3,3,1,1,3,2,3,3,3,2,1,1,1,2,1,1,3,3,2,3,3,2,3,2,3,3,3,4,3,湖北省(Hubei)
79,SUV,2,0,everyday,commuting,10,38,male,Chinese,none,20万元以上～30万元以下,4,2,1,4,2,2,2,3,2,3,2,1,1,2,3,1,1,3,2,3,1,4,3,1,3,1,3,1,1,4,3,2,3,2,3,3,2,3,4,4,4,3,江苏省(Jiangsu)
80,car,2,2,everyday,commuting,9999,48,male,Chinese,none,10万元以上～20万元以下,4,2,2,3,2,1,1,2,2,3,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,3,3,3,4,4,3,3,3,3,3,3,4,3,上海市(Shanghai)
81,SUV,1,0,once in a week,others,9999,52,male,Chinese,none,不到10万元,2,2,1,3,1,3,2,2,2,3,3,1,1,3,3,1,1,3,2,3,3,3,1,1,1,1,3,1,1,4,4,4,2,3,3,2,2,3,4,4,4,2,云南省(Yunnan)
82,car,1,0,everyday,commuting,9999,51,male,Chinese,none,不到10万元,4,2,3,2,2,3,3,3,3,3,2,1,1,2,2,1,1,3,2,2,1,2,2,1,1,2,2,1,1,4,3,3,3,3,3,2,2,3,3,3,3,2,云南省(Yunnan)
83,SUV,1,0,several in a week,business,9,33,male,Chinese,none,不到10万元,2,2,2,2,1,4,3,2,4,1,1,1,2,1,2,2,1,2,2,3,2,2,2,1,1,2,2,2,1,3,4,3,3,3,3,3,3,3,3,3,4,4,云南省(Yunnan)
84,SUV,5,0,everyday,commuting,9999,40,male,Chinese,other,10万元以上～20万元以下,5,5,1,5,3,1,2,2,1,3,2,1,1,4,1,1,1,1,2,3,1,3,1,1,1,3,1,1,1,1,4,4,1,1,1,1,1,4,4,4,4,1,云南省(Yunnan)
85,car,6,0,several in a week,commuting,9999,33,male,Chinese,Islam,不到10万元,5,5,5,4,3,1,1,2,3,3,1,1,1,2,3,1,1,1,1,1,1,4,1,1,1,1,3,1,1,4,4,2,4,4,4,4,4,4,4,4,4,3,云南省(Yunnan)
86,SUV,9999,1,everyday,commuting,9999,39,male,Chinese,Buddhism,20万元以上～30万元以下,4,2,3,2,3,3,3,3,1,2,1,2,2,3,3,2,1,4,4,4,1,3,1,1,1,1,1,4,1,4,3,2,4,4,3,3,3,4,3,4,4,3,上海市(Shanghai)
87,car,0,0,everyday,commuting,9999,62,male,Chinese,none,10万元以上～20万元以下,1,2,2,3,1,1,2,2,3,3,1,1,1,1,2,1,1,1,2,2,3,3,1,1,1,1,1,1,1,4,3,2,3,3,3,2,3,3,3,3,3,2,上海市(Shanghai)
88,car,2,0,everyday,commuting,9,43,male,Chinese,none,10万元以上～20万元以下,4,2,2,4,2,3,4,4,3,4,4,2,2,3,4,2,3,2,4,4,1,4,1,1,1,1,3,1,1,4,3,3,3,3,3,2,2,3,4,4,3,3,云南省(Yunnan)
89,SUV,2,0,several in a week,commuting,7,28,male,Chinese,none,不到10万元,5,4,2,1,2,1,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,3,2,1,1,2,2,1,1,4,4,3,3,3,3,3,3,3,3,3,3,2,云南省(Yunnan)
90,SUV,2,0,once in a week,commuting,9999,55,male,Chinese,none,不到10万元,4,2,3,2,2,3,1,2,1,3,3,1,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,甘肃省(Gansu)
91,van or minivan,1,0,everyday,others,5,65,male,Chinese,none,不到10万元,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
92,car,2,0,everyday,commuting,9999,53,male,Chinese,none,不到10万元,2,2,2,1,2,1,2,2,3,2,2,1,2,2,2,3,2,2,2,3,3,3,2,1,2,2,3,2,2,4,3,3,4,4,3,2,2,2,4,4,4,4,青海省(Qinghai)
93,car,2,1,everyday,commuting,6,25,male,Chinese,none,20万元以上～30万元以下,3,2,3,2,1,4,3,3,3,3,2,1,1,2,3,2,1,4,4,4,3,3,3,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
94,car,0,0,everyday,commuting,9999,46,female,Chinese,none,10万元以上～20万元以下,2,2,2,2,2,4,4,4,4,4,4,3,3,2,3,2,2,2,2,3,2,3,3,1,2,1,2,1,1,4,4,3,3,3,4,3,2,3,4,4,4,3,北京市(Beijing)
95,car,3,0,everyday,others,9999,55,male,Chinese,none,不到10万元,4,2,4,4,4,2,4,3,3,4,2,1,1,2,2,1,1,3,2,2,1,4,1,1,1,2,3,1,1,4,4,4,3,3,2,1,2,4,4,4,4,3,青海省(Qinghai)
96,SUV,6,0,several in a week,commuting,6,45,female,Chinese,Buddhism,不到10万元,2,1,1,4,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,4,4,1,4,4,4,4,4,4,4,4,3,青海省(Qinghai)
97,car,0,0,several in a week,others,1,23,male,Chinese,none,不到10万元,5,4,4,4,2,2,3,2,3,3,2,1,1,1,2,2,1,1,3,2,4,3,1,1,1,1,2,1,1,4,4,4,4,4,2,3,2,3,4,4,4,4,上海市(Shanghai)
98,SUV,1,0,several in a week,others,10,34,male,Chinese,none,不到10万元,2,2,2,1,2,3,4,4,3,3,3,2,1,2,3,1,1,3,3,3,1,3,3,1,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,甘肃省(Gansu)
